timesteps,lambda_rate,episode_reward,tardiness
82392,0.12,-16.524724239519514,22
82392,0.12,-12.624208325294154,25
82392,0.12,-23.01330369445539,33
83856,0.12,-184.0246056758407,426
83856,0.12,-175.74904426059933,419
83856,0.12,-184.2688074264792,417
85314,0.12,-120.80782059666515,393
85314,0.12,-112.46385213061245,378
85314,0.12,-125.2427388474772,406
86811,0.12,-258.0300616979773,1271
86811,0.12,-266.0036787902212,1311
86811,0.12,-255.33297438026685,1285
88302,0.12,-33.18201397765999,54
88302,0.12,-52.021823844825036,114
88302,0.12,-44.99795946739281,51
89847,0.12,-0.7426205105087097,1
89847,0.12,0.0,0
89847,0.12,0.0,0
91314,0.12,-23.106562523580642,28
91314,0.12,-27.590370086392603,35
91314,0.12,-19.472812303461073,22
92769,0.12,-158.76929375746172,372
92769,0.12,-168.93558510533578,356
92769,0.12,-163.13966080375664,354
94203,0.12,-24.964625890916746,32
94203,0.12,-28.3670942471448,18
94203,0.12,-35.23120601661651,34
95739,0.12,-89.7599130985748,180
95739,0.12,-86.18727339275249,206
95739,0.12,-84.28814007719923,223
97194,0.12,-88.37669238252595,278
97194,0.12,-88.12998906904551,318
97194,0.12,-73.26105229187115,237
98718,0.12,-16.866889350814258,19
98718,0.12,-11.784255043180702,15
98718,0.12,-15.011132706617682,19
100254,0.12,-1.65028055781943,1
100254,0.12,0.0,0
100254,0.12,0.0,0
101724,0.12,-56.435371383784386,82
101724,0.12,-31.459598248959807,55
101724,0.12,-23.90804518524768,42
103170,0.12,0.0,0
103170,0.12,0.0,0
103170,0.12,0.0,0
104628,0.12,-164.57829011567577,538
104628,0.12,-154.52503598326948,425
104628,0.12,-156.54155115649857,429
106149,0.12,-130.77509743650074,365
106149,0.12,-125.85460359771183,390
106149,0.12,-125.65807692846366,397
107667,0.12,-288.24224083646106,1666
107667,0.12,-278.3599638899935,1632
107667,0.12,-289.61868875743795,1590
109098,0.12,0.0,0
109098,0.12,-1.6882199419476502,2
109098,0.12,0.0,0
110511,0.12,0.0,0
110511,0.12,-0.6338901006517956,1
110511,0.12,0.0,0
111987,0.12,0.0,0
111987,0.12,0.0,0
111987,0.12,0.0,0
113457,0.12,-0.8737566947580437,2
113457,0.12,0.0,0
113457,0.12,0.0,0
115011,0.12,-21.089368782707663,21
115011,0.12,-32.02710373250344,38
115011,0.12,-31.876579058561628,42
116490,0.12,-26.675365104678495,25
116490,0.12,-30.53547318471345,45
116490,0.12,-19.33121466575681,19
118023,0.12,0.0,0
118023,0.12,0.0,0
118023,0.12,0.0,0
119517,0.12,-196.76250808465736,571
119517,0.12,-209.64256978708022,592
119517,0.12,-208.97190543726612,618
120915,0.12,-235.4598139932263,938
120915,0.12,-223.60049993101495,898
120915,0.12,-228.90936890556995,931
122376,0.12,-64.63213396339711,146
122376,0.12,-73.22271904267676,160
122376,0.12,-73.19060634138793,149
123849,0.12,-48.75319612211984,55
123849,0.12,-46.0755742383325,46
123849,0.12,-50.48261839818755,37
125301,0.12,-83.77349452958808,163
125301,0.12,-83.42137839387689,144
125301,0.12,-84.46809512247647,180
126708,0.12,0.0,0
126708,0.12,0.0,0
126708,0.12,0.0,0
128181,0.12,-137.02677591532483,302
128181,0.12,-147.0404149157218,350
128181,0.12,-134.0274839150499,282
129636,0.12,0.0,0
