timesteps,episode_reward,tardiness
608532,-197.38089279888825,1003
609501,-203.398293010764,1006
610470,-202.60296605936043,1000
611439,-188.3859934823454,946
612408,-196.15226997190632,977
613377,-189.83899393311506,992
614346,-194.9109345882509,973
615315,-189.6984867104785,955
616284,-194.98121362965526,982
617253,-192.82705489056997,1005
618222,-197.17602059128083,983
619191,-202.62093438848328,970
620160,-197.39184947053977,1054
621129,-188.49083695408618,1012
622098,-209.48545093648036,1060
623067,-203.14694052779518,947
624036,-194.20905269844255,1000
625005,-199.1818928880182,999
625974,-188.12342997712273,971
626943,-200.08041934440604,1026
627912,-185.85008507071348,1010
628881,-199.9599290476341,994
629850,-186.5052957854607,957
630819,-193.24884275025494,938
631788,-195.40204503431653,984
632757,-195.88517022939786,1067
633726,-193.37256376704383,983
634695,-187.2657769372019,1015
635664,-200.5720423590333,1024
636633,-199.7089077925643,1015
637602,-199.2052054262324,1019
638571,-206.98186539212796,977
639540,-204.13585738937152,1005
640509,-189.921050290974,947
641478,-189.33975045751856,990
642447,-187.07011467927424,874
643416,-199.53329489373286,1005
644385,-193.11561084831726,1002
645354,-189.13137339594167,940
646323,-187.84860842804602,942
647292,-183.6214880876156,944
648261,-195.9531174788921,1018
649230,-175.47953560791277,998
650199,-195.07540801537698,988
651168,-185.07546845062177,979
652137,-199.40319735297876,983
653106,-193.4471032088648,1007
654075,-195.6938094893051,981
655044,-200.82012400687088,957
656013,-200.08814966926454,969
656982,-199.56243767822235,1007
657951,-195.1267478289037,973
658920,-191.63686689263525,950
659889,-199.23847082730575,969
660858,-196.58378249003863,990
661827,-194.41665729503652,964
662796,-206.7402707302934,1006
663765,-196.11211079297718,977
664734,-193.326602737337,975
665703,-196.79499707107416,1016
666672,-201.34397969464771,1002
667641,-191.24501283949752,965
668610,-202.83994884217634,1030
669579,-194.90422144209919,974
670548,-187.07434764373852,958
671517,-191.8689927164669,973
672486,-191.8743615316543,980
673455,-194.77443998960368,995
674424,-193.61878018391056,964
675393,-197.48506115160325,957
676362,-193.73902159088647,998
677331,-195.8271215608923,966
678300,-195.04979286998378,1056
679269,-202.07153237188143,992
680238,-195.82747336878802,977
681207,-194.0315510842025,969
682176,-193.8687263129753,950
683145,-206.8649009934581,960
684114,-199.99394123319098,949
685083,-192.94496573803005,947
686052,-200.0231421974329,1002
687021,-198.9255291997147,966
687990,-197.65040455059426,971
688959,-190.6614562785696,940
689928,-197.45334273643496,1025
690897,-190.7508150385471,1024
691866,-192.4696486814426,941
692835,-187.7906390656433,1025
693804,-201.43362523246304,1031
694773,-199.03542254866818,1004
695742,-194.01321148571068,1030
696711,-190.0643104417832,1009
697680,-198.218973659792,971
698649,-184.95427728987744,959
699618,-197.8629263565364,966
700587,-194.94413922015394,986
701556,-192.03563869597065,903
702525,-198.95041263474627,1026
